Domain ID,Our Fast Pagerank Value,Numpy Pagerank Value,Scipy Pagerank Value
9.0,0.002034082663246921,0.002034082662971327,0.0020461156027820936
10.0,0.001991896489362286,0.0019918964901175385,0.002015845853293003
11.0,0.002107255131775288,0.0021072551299631645,0.00209274908062979
12.0,0.002359427259129602,0.00235942725741683,0.0023410782972723538
13.0,0.0019140037330093735,0.0019140037345877529,0.0019259293842835657
14.0,0.002040242113367005,0.0020402421121487133,0.002036343678880714
15.0,0.0021860218172263606,0.002186021817434279,0.0021809379944972927
16.0,0.0018268362206170837,0.0018268362225054193,0.0018391610992490293
17.0,0.0018128110156571777,0.0018128110146692466,0.0018203554271825273
18.0,0.00190995871812388,0.0019099587192171505,0.001925304049512674
19.0,0.0020278854009408657,0.0020278854003191035,0.002020385069139486
20.0,0.0019479737145235447,0.001947973715320879,0.001946492509044271
21.0,0.00190460787758042,0.0019046078767510097,0.001904003658599818
22.0,0.0022127112747612095,0.0022127112762395074,0.0022135173650146855
23.0,0.0021413228883394053,0.0021413228863509694,0.002127503937621028
24.0,0.0020073903789001174,0.002007390379474301,0.001994158943983581
25.0,0.00221847626491745,0.002218476262729697,0.002226955550280225
26.0,0.001973671639124129,0.0019736716399770915,0.001986261418186152
27.0,0.0019221401957947432,0.0019221401961653606,0.0019241278859589497
28.0,0.0017072269780850815,0.001707226977060635,0.001715803823897106
29.0,0.0018708489306136988,0.0018708489311277333,0.0018955435114052666
30.0,0.001790480270837598,0.001790480272039638,0.0017853505998198104
31.0,0.002105417788529196,0.002105417788638271,0.0021038679104910902
32.0,0.002041545092155335,0.0020415450924033242,0.0020361992242935623
33.0,0.0018405872487189646,0.0018405872494396678,0.0018469909747478815
34.0,0.0019119808375420773,0.001911980837460322,0.001935026555985969
35.0,0.0018858023757036054,0.0018858023762329365,0.0018802581072453932
36.0,0.0020749870198359813,0.0020749870198575756,0.002076722471191679
37.0,0.00212371576994808,0.002123715770287639,0.0021187622608822908
38.0,0.0019668036276846313,0.0019668036272184417,0.0019621582455005967
39.0,0.001924205224409168,0.0019242052265773094,0.0019015099699133992
40.0,0.0021798786425990735,0.0021798786442744954,0.0021491043798816498
41.0,0.0018296309523407246,0.0018296309512163672,0.0018384302244798785
42.0,0.0016382623245640316,0.0016382623220333535,0.0016416606052982305
43.0,0.002186392368445925,0.0021863923691601206,0.0021781545384083373
44.0,0.0020924431737411302,0.0020924431720313334,0.0020761757288118377
45.0,0.0020715088982169627,0.0020715088983035285,0.0020724713912788355
46.0,0.0019075829598143217,0.001907582961971355,0.0018991471571684344
47.0,0.0020968522349361944,0.002096852232785627,0.002093894131129367
